Character,SpSolid,SpCoarse,SpLiquid,Accel,MiniT,WeightCoin,HdSolid,HdCoarse,HdLiquid
Baby Peach,0,0,0,7,4,0,6,6,6
Baby Daisy,0,0,0,7,4,0,6,6,6
Swooper,0,0,0,7,4,0,6,6,6
Para-Biddybud,0,0,0,7,4,0,6,6,6
Baby Mario,1,0,0,6,3,1,7,5,5
Goomba,1,0,0,6,3,1,7,5,5
Spike,1,0,0,6,3,1,7,5,5
Baby Luigi,1,0,6,3,1,6,5,7,5
Dry Bones,1,0,6,3,1,6,5,7,5
Peepa,1,0,6,3,1,6,5,7,5
Baby Rosalina,0,1,6,3,1,6,5,5,7
Sidestepper,0,1,6,3,1,6,5,5,7
Fishbone,0,1,6,3,1,6,5,5,7
Toadette,2,1,1,5,3,2,6,4,4
Nabbit,2,1,1,5,3,2,6,4,4
Toad,1,2,1,5,3,2,4,6,4
Shy Guy,1,2,1,5,3,2,4,6,4
Stingby,1,2,1,5,3,2,4,6,4
Koopa Troopa,1,1,2,5,3,2,4,4,6
Lakitu,1,1,2,5,3,2,4,4,6
Cheep Cheep,1,1,2,5,3,2,4,4,6
Peach,3,2,2,4,2,3,5,3,3
Daisy,3,2,2,4,2,3,5,3,3
Coin Coffer,3,2,2,4,2,3,5,3,3
Yoshi,2,3,2,4,2,3,3,5,3
Monty Mole,2,3,2,4,2,3,3,5,3
Bowser Jr,2,2,3,4,2,3,3,3,5
Dolphin,2,2,3,4,2,3,3,3,5
Mario,4,3,3,3,1,4,4,2,2
Rocky Wrench,4,3,3,3,1,4,4,2,2
Luigi,3,4,3,3,1,4,2,4,2
Hammer Bro,3,4,3,3,1,4,2,4,2
Pokey,3,4,3,3,1,4,2,4,2
Birdo,3,3,4,3,1,4,2,2,4
Penguin,3,3,4,3,1,4,2,2,4
Pauline,5,4,4,2,0,5,3,1,1
Snowman,5,4,4,2,0,5,3,1,1
Piranha Plant,5,4,4,2,0,5,3,1,1
King Boo,4,5,4,2,0,5,1,3,1
Conkdor,4,5,4,2,0,5,1,3,1
Rosalina,4,4,5,2,0,5,1,1,3
Cataquack,4,4,5,2,0,5,1,1,3
Wario,6,5,5,1,0,6,2,0,0
Wiggler,6,5,5,1,0,6,2,0,0
Cow,5,6,5,1,0,6,0,2,0
Donkey Kong,5,6,5,1,0,6,0,2,0
Chargin Chuck,5,6,5,1,0,6,0,2,0
Waluigi,5,5,6,1,0,6,0,0,2
Pianta,5,5,6,1,0,6,0,0,2
Bowser,6,6,6,0,0,7,0,0,0
